query,dimension,source,source_type,title,url,published_at,why_candidate,review_label,false_positive_reason,cluster_key,cluster_label,primary_dimension,secondary_dimensions,representative_url,duplicate_of,notes
"""Prefeitura do Rio"" ""vagas"" ""Trabalho e Renda""",jobs_income,Google News,google_news,Prefeitura do Rio de Janeiro: inscrições abertas para 2.867 vagas em novo seletivo - JC Concursos,https://news.google.com/rss/articles/CBMiywFBVV95cUxORG4xRTd1RTJROF9SR0ppTURwZHo1UEx3cjZZVlpzTUVPMFMzUG1hMnl2TndINy1rNXBpM2IzY3dOaDZDUC1LQjFvbFRBa1U5WmJreTNlU2RTUEFwbWFjY2VKY3pEMU1NbTZUU2t6ZXBsNUYxVkhOQl9MVjdxbWlSWmQtNzF4OC05ZFQyMXFGNVk0NVBPTWgtVFFCUDNXYzdJUnRZQXN2T0g4cDBhaGNrOFZfNV91S3VKem5qemNBQ2xoNTZNMTZFeDlxa9IB0AFBVV95cUxON19Cd0dsREQ2LUludElIek4xaTVDSFQtZ3d0QTd3YjUxS2w5RDJBWjFLM0pPeWI2bGlwUGQ5cGd3SEMyTW5PcThBRDdETTlxNFJtd1U1TnllNVlaY1dSTlZaVjN5NF9oZTJCVWpQRFJJYlgxcUZTX0lzYkZ4OWdZeXZXRUw5bHJoaU15MTQ5V19WUE9mSmFzM0V1NkE1ZW1FTVhtcXNqRExZTktvS2NDOEdpT2NLLU9meE5HV05QV0RNU3g1aWdKb3N6NVVZcFdn?oc=5,2026-05-19T17:13:38+00:00,city jobs signal anchored to municipal labor office,,,,,,,,,
"""Prefeitura do Rio"" ""vagas"" ""Trabalho e Renda""",jobs_income,Google News,google_news,Rio tem 2.867 vagas de emprego abertas nesta semana - Diário do Rio,https://news.google.com/rss/articles/CBMiggFBVV95cUxNN1BCY1hDQVVwUWFkYmdvQXhqbXlhRFNRaDlKQV91YnlILTUwVjZBTW82UkFaaURUdm9jNkpKSGdfd2FEbUVISEU3UzBJZzdYS1ZLdmpzc1lleURZa2hNREdlVGNmSTJzWW9HS0VXbFNtQXY1RVVvcXFlNEhlam1CV0ln?oc=5,2026-05-18T10:28:17+00:00,city jobs signal anchored to municipal labor office,,,,,,,,,
"""Prefeitura do Rio"" ""vagas"" ""Trabalho e Renda""",jobs_income,Google News,google_news,Programa Trabalha Rio leva atendimento gratuito de emprego a diferentes bairros do Rio nesta semana - Diário da Guanabara,https://news.google.com/rss/articles/CBMixAFBVV95cUxPempqRzR5SGwtRHdPcW1hak5RdGx4THpRZV84aHYxRTdBTmV2NkViNmI3SHpDMTVTSXNESDhETTd0WlBCZW9nWW5OZUN6enVXX25nMklPWFl6eHE4ODBLcjM4NDRJRnAwMkRjcjFjcjJnU3JkV0JyaFJjbVFxb3U5NkRGZms4LTJLMkV6U1c0VmlaOW5YenBSZmd5cXB1ZFRwWUw1Y291ajYtX1BpZTh1RWhQWndkS204Y2RCYzlWMFA2Vl92?oc=5,2026-05-17T13:16:37+00:00,city jobs signal anchored to municipal labor office,,,,,,,,,
"""Rio de Janeiro"" hotelaria vagas emprego",jobs_income,Google News,google_news,Grand Hyatt Rio de Janeiro recebe potenciais candidatos para vagas de emprego - Panrotas,https://news.google.com/rss/articles/CBMi2wFBVV95cUxPNlZuZTk0bkE0Y0w2ME1LcjdWaXFDd2hXRjhrMkdfWG9mNDdXQWVNUGI2TWRFWUNKOUpMWC1oMVFrZTNLOGV5cVFicDJKNTdqd1dHMGZXYlZXUFplNVdTNnpRbTNJZE5FMnV2NWdhLVRiMXF3TzhWa05yaWdiX1h6aG80SE5yNkJuakY2ZnNwQldnbThhUzU0S1hoV056QldudWVIZFY5SE1kYVVnOTdGbkp5aGduQ1V4a1ZIaG1nYjFCbm9IN09kVzdialFOb2VtX2xuWFlhWTgtTmM?oc=5,2025-10-17T07:00:00+00:00,hotel/tourism labor-market signal with explicit city anchor,,,,,,,,,
"""Rio de Janeiro"" hotelaria vagas emprego",jobs_income,Google News,google_news,Hilton Copacabana e Hilton Barra abrem vaga para Gerente de Compras Cluster no Rio - ABIH-RJ,https://news.google.com/rss/articles/CBMiswFBVV95cUxNUG8wR0dNaGtsV1QzR21na3AwdGJKbnhIc1RzbWZ1VGZwSm5td2lCYlhmczM4OVhQOXVwd3hMUTZSaDI2SDdkRl9HOWVTWEFJYjkzVEkyalQ3d1NDM05hNVlyb0Z0LXB4OFF5WnZIODNVNS1BemNBZXpNM2RxTkpvRVVOMXQzbDR4aTRCZ2ZLR0cxcEZ1QlZmVkxueFd3YXdYNDAtVnVIUzR2UzZlellPdWtsUQ?oc=5,2026-05-07T13:21:47+00:00,hotel/tourism labor-market signal with explicit city anchor,,,,,,,,,
"""Prefeitura do Rio"" licenciamento obras",construction_real_estate,Google News,google_news,Prefeitura garante 30% de desconto para quem regularizar obras até 2 de março - Prefeitura da Cidade do Rio de Janeiro,https://news.google.com/rss/articles/CBMi1gFBVV95cUxOV25LbHE4TkpuSEE5Y1U4VlR6OFF3cDRUUm1lQ0tGaDNfQ0Jxcng5Z0RpaG5VY3FCcmQ3QjdPVEtham5fUG9FMUVwMjY2ZkpaSmRQZllfLTFJTW85akdWZk1TZEJaTDFJb0NEclRjMDVuN2stcVlNemlOd244S200WlI5UC1GZjg0Znl4QjdYVHhPU29tYU9MVmdDa2VBeU5lM1Y1YmppcXFrU3YwZVZLMDMzeE5iVnFub2hoR2tKWlh3NHRnYnRMZkcwdUQyWmlYQTVDU2Nn?oc=5,2026-02-24T08:00:00+00:00,municipal permitting and construction activity signal,,,mais_valia_mais_valera_regularization,Mais Valia/Mais Valera regularization discount,construction_real_estate,,https://news.google.com/rss/articles/CBMi1gFBVV95cUxOV25LbHE4TkpuSEE5Y1U4VlR6OFF3cDRUUm1lQ0tGaDNfQ0Jxcng5Z0RpaG5VY3FCcmQ3QjdPVEtham5fUG9FMUVwMjY2ZkpaSmRQZllfLTFJTW85akdWZk1TZEJaTDFJb0NEclRjMDVuN2stcVlNemlOd244S200WlI5UC1GZjg0Znl4QjdYVHhPU29tYU9MVmdDa2VBeU5lM1Y1YmppcXFrU3YwZVZLMDMzeE5iVnFub2hoR2tKWlh3NHRnYnRMZkcwdUQyWmlYQTVDU2Nn?oc=5,,
"""Prefeitura do Rio"" licenciamento obras",construction_real_estate,Google News,google_news,Mais Valia e Mais Valerá: Prefeitura do Rio estende prazo e dá até 30% de desconto para regularizar obras - Diário do Rio,https://news.google.com/rss/articles/CBMixwFBVV95cUxNM005ak5Oa0FKajFQSTZWTUV6STRvUGVBUWlPaTVXUnQ5em1aNm8ycXhRQ0dtQzktODVIdlBhOE81M0gtbWdoUnlfRFNvbldYZ1dLSG94MWtKQkplSTlTV29FSHdBbWh4c09vd1B0VnZ1WWV2TU1sNVZoRHlKRFRuZnBHQTRlbk5JRkVfSHpRNWhERXUwbzloQUlxMEZoVmFJckMyMHJoSHhjc3VELU42V0pWWXhPbkxyWXk2Z1dDbG8yRXdaR2dJ?oc=5,2026-02-24T08:00:00+00:00,municipal permitting and construction activity signal,,,mais_valia_mais_valera_regularization,Mais Valia/Mais Valera regularization discount,construction_real_estate,,https://news.google.com/rss/articles/CBMi1gFBVV95cUxOV25LbHE4TkpuSEE5Y1U4VlR6OFF3cDRUUm1lQ0tGaDNfQ0Jxcng5Z0RpaG5VY3FCcmQ3QjdPVEtham5fUG9FMUVwMjY2ZkpaSmRQZllfLTFJTW85akdWZk1TZEJaTDFJb0NEclRjMDVuN2stcVlNemlOd244S200WlI5UC1GZjg0Znl4QjdYVHhPU29tYU9MVmdDa2VBeU5lM1Y1YmppcXFrU3YwZVZLMDMzeE5iVnFub2hoR2tKWlh3NHRnYnRMZkcwdUQyWmlYQTVDU2Nn?oc=5,row:16,
"""Prefeitura do Rio"" licenciamento obras",construction_real_estate,Google News,google_news,'Mais valia' e 'mais valerá': Prefeitura do Rio prorroga prazo para regularizar obras com até 30% de desconto - Tempo Real RJ,https://news.google.com/rss/articles/CBMicEFVX3lxTE1NRmRLT1ZHYVhSNzVzaS16OTM3SDF0ZlRsTndyRlBwcE5uVmVXUFJGSmtUQzlDZUpDN0EyXzNpdk1wMG5KeDhvaGRlSE12ZkhWeU1JWGRncl80ZTdGeWVNLS12MnJRSjhfVWktNHkya3M?oc=5,2026-02-24T08:00:00+00:00,municipal permitting and construction activity signal,,,mais_valia_mais_valera_regularization,Mais Valia/Mais Valera regularization discount,construction_real_estate,,https://news.google.com/rss/articles/CBMi1gFBVV95cUxOV25LbHE4TkpuSEE5Y1U4VlR6OFF3cDRUUm1lQ0tGaDNfQ0Jxcng5Z0RpaG5VY3FCcmQ3QjdPVEtham5fUG9FMUVwMjY2ZkpaSmRQZllfLTFJTW85akdWZk1TZEJaTDFJb0NEclRjMDVuN2stcVlNemlOd244S200WlI5UC1GZjg0Znl4QjdYVHhPU29tYU9MVmdDa2VBeU5lM1Y1YmppcXFrU3YwZVZLMDMzeE5iVnFub2hoR2tKWlh3NHRnYnRMZkcwdUQyWmlYQTVDU2Nn?oc=5,row:16,
"""cidade do Rio"" mercado imobiliario",construction_real_estate,Google News,google_news,A nova onda de investimentos no mercado imobiliário do Rio de Janeiro - VEJA,https://news.google.com/rss/articles/CBMitgFBVV95cUxPRmE0NUZWRjllYWc5ZkhHWmVZYWxiOHRXRXNHS3oxV2lUYW55cmVUY2huVVFHdXlqWFQ0Zzl3cFE4U2lBQ19RVXp6RGdfakhJRXRtQmtfTV9CRy1UT1ZLekhmaGcyV09YS0djTXBHaEkxWnh3ZnQtQnVzaU9uYjdtYUJxd0VydjczejZuU1FFV09GcFVOdGN1aGYxUzlPazhkdTVVRmpEWmpwVmNmVUJkVlZISE1qUQ?oc=5,2026-05-12T19:17:16+00:00,city-specific real-estate activity,,,,,,,,,
"""cidade do Rio"" mercado imobiliario",construction_real_estate,Google News,google_news,Um terço dos apartamentos novos em 3 lugares do Rio de Janeiro está sendo comprado por estrangeiros - Tribuna de Minas,https://news.google.com/rss/articles/CBMi6AFBVV95cUxQWE90dUtfbFNoVjZ2dDR6M3liUkotNnFVOVdTVG8yRm54WlBDbjNjTFB6MjA4Y1ZLQkFScjkxbE1IbERCeWJpa0ZwU0lUNVA3amhFUGd5SjVTNXN4bFFfcmVnMlVtek9yYnFTMDF3MmFUZG9wOUVUWk5hbVBmeHlISkNCVEkxbDNvdjRVLVVFbkxxMWoxZjFvd0tOMkhKeE9SWWQ1YkpCdmFKVXZzWTNsMWNMQ2tFeGg4bUxGZzh6cXJkb2xHdm9KV1hKcEJ2bktCYW5UcGk3YS04Z0ttdkJ2OGhWcnhNdi0y?oc=5,2026-05-15T23:21:00+00:00,city-specific real-estate activity,,,,,,,,,
"""cidade do Rio"" mercado imobiliario",construction_real_estate,Google News,google_news,Fundos imobiliários discutem novos projetos e oportunidades no Rio de Janeiro - Diário do Rio,https://news.google.com/rss/articles/CBMipAFBVV95cUxOdHE5Qmpwal84cXF0cGc4a1gzQk11RXplbUZEb3NqOVlHdEZOQmxOcElEcjQ3N1hZWGIySlBTRFVITDNBN2E0RTY3d0g2Qks4cDExWmsxdmZFYXJ0NnRHS0hVYUlaTTRleTVlVVY0NE1nN2tHZ3RmMHp0dTZJQ2JZZEFRaTlGNjc1Q2I3eXBhdncyVzBfWVRmWWNnVkRBa1FwYzdhbQ?oc=5,2026-05-08T13:54:06+00:00,city-specific real-estate activity,,,,,,,,,
"""Prefeitura do Rio"" ISS arrecadacao",municipal_finance,Google News,google_news,Turismo recorde em 2025 faz arrecadação do ISS do setor ser de mais de R$ 300 milhões - Prefeitura da Cidade do Rio de Janeiro,https://news.google.com/rss/articles/CBMizwFBVV95cUxOX0J3RE8xT3VuNHhqbEFMNmxnSmpMeTJYVEJpREVjNjdQMkZnUVlZRV8tOURYblB4YzI1X04yOGctWXV2V25fQVBqY2tDOTEweTRHUFZVMHBPeFk5VEZnRFEyWHgtcjBfZkFPMVJRYktaQkpXYndZc2FlODNpSzdjaWFoYTUxeUVUZWdCQkNyRVdTanpyajZxODE0NlMxUzVjWXlDemJyTXFkTnRMX3lTM2Q3ekZuWUc1S3RUaWV3VTRiSS13S0lOdlljb2dJazg?oc=5,2026-03-09T07:00:00+00:00,municipal tax and revenue signal,,,,,,,,,
"""Prefeitura do Rio"" ISS arrecadacao",municipal_finance,Google News,google_news,"Prestação de contas: Prefeitura do Rio deixou de arrecadar R$ 3,8 bilhões em impostos em 2025; oposição questiona beneficiários - Tempo Real RJ",https://news.google.com/rss/articles/CBMiXEFVX3lxTE1LbVhoT3dCQXNTc2NvaURTdE5XV1Y3aGhjb0ZwRHBKNmd6TDd1MXJRS1ptTnhuMmtiSTlPdnpCUjVzaE1CWllvQVV5c2ktU0R2V3R6ZmtzaGp1dnJZ?oc=5,2026-04-19T07:00:00+00:00,municipal tax and revenue signal,,,,,,,,,
"""Prefeitura do Rio"" ISS arrecadacao",municipal_finance,Google News,google_news,Rio arrecadou 37% a mais no 1º semestre de 2025 com serviços ligados ao setor aeroportuário - Prefeitura da Cidade do Rio de Janeiro,https://news.google.com/rss/articles/CBMivgFBVV95cUxObjNQa1J0ZEtjYkxtRUNhQ285NkhGV2UxNGFCbXN1YVdqTmZURVo1ci1HR1dET2hCeHpuWE9hNmh1V3BfdXZRY1dtbi1JU3lQT28wV3hTV0djNXRPSUVrQWtLWGRpc3U0ME1tOGU2eURyVFQwM1RLR21LdjNBd19hbV9CbVpVekxDdml6OXNoaWoxdHlPT0UtUWR2M3czdTlRSF9CMnhNdTdZT2VyTnFvRkJlMmpFYWRkdXV3emRB?oc=5,2025-09-29T07:00:00+00:00,municipal tax and revenue signal,,,,,,,,,
"""Fazenda"" ""Camara do Rio"" arrecadacao",municipal_finance,Google News,google_news,Fazenda apresenta resultados do último quadrimestre de 2025 em audiência pública na Câmara do Rio - Câmara Municipal do Rio de Janeiro,https://news.google.com/rss/articles/CBMi3wFBVV95cUxPT2lXQ1dZQ3pXTEN5NWQ2a0U4SzluZkROLU1SSFRTQ1VPSGtyR3NrTTRZbWxPRVF0RF9MdWRaT0RxQlBrQjNoWWlmVTlJT05pVHVqRHl0NXNZZzNXVmVIdzByZ0FYNzJVQzhHUXJ4QzhSQmxzUGZqQjBXTW8wLXYzcHN2bnNCQ0pKWVVEandsMHZySmR4SU9RRlh0V05pblkxelh2ZGFXV3h1c0hXZnI4MFk0MXRhS3dBQ3ROVjJ0Ql9kX3gzS3cxUmMzbUJ6ODNGTDRGRDFUTWdFdV9NMVVR?oc=5,2026-04-28T18:31:05+00:00,municipal finance result with city legislative anchor,,,,,,,,,
"""Fazenda"" ""Camara do Rio"" arrecadacao",municipal_finance,Google News,google_news,Fazenda presta contas à Câmara do Rio sobre o 2º quadrimestre de 2025 do Poder Executivo - Câmara Municipal do Rio de Janeiro,https://news.google.com/rss/articles/CBMi0gFBVV95cUxPSjZnZE5IT2laaWNhSEZaZkhjcjVkQU5EREg3eHJ0ZmZTbWNxLUJPaE1UTS1ZRzdFSzhEQXhrZXNoSGROTGdVWjdpWFRKcDVJR0YzSHBRdEdXaXROdHBkVXd3b2JIYkFmRHdWNVpqT3FKczYzdUdpek9yWG9mNjBMNm56aVZNZTFsZi1hQXhjN0JPUkVnOHZJTURTb25STmQzaG80UE1DODcyenhpVzFyV0llTHM3eTkzME94WmQwRTFtMXZpYy1aNk83WjJ1dERLUHc?oc=5,2025-12-04T08:00:00+00:00,municipal finance result with city legislative anchor,,,,,,,,,
